row_id,booking,arrival,resolved,lead_time,arrival_month,stays_in_weekend_nights,stays_in_week_nights,hotel,meal,market_segment,distribution_channel,reserved_room_type,customer_type,target
17975,2015-09-07,2015-10-22,2015-10-29,45,10,2,5,Resort Hotel,BB,Offline TA/TO,TA/TO,A,Contract,0
18049,2015-09-07,2015-10-25,2015-11-01,48,10,2,5,Resort Hotel,BB,Offline TA/TO,TA/TO,A,Contract,0
42543,2015-09-07,2015-09-07,2015-09-08,0,9,1,0,City Hotel,BB,Direct,Direct,D,Transient,0
42545,2015-09-07,2015-09-07,2015-09-08,0,9,1,0,City Hotel,BB,Online TA,TA/TO,A,Contract,0
42546,2015-09-07,2015-09-07,2015-09-08,0,9,1,0,City Hotel,BB,Online TA,TA/TO,A,Transient,0
42550,2015-09-07,2015-09-07,2015-09-09,0,9,1,1,City Hotel,BB,Offline TA/TO,TA/TO,A,Transient,0
42553,2015-09-07,2015-09-07,2015-09-09,0,9,1,1,City Hotel,BB,Online TA,TA/TO,A,Contract,0
42555,2015-09-07,2015-09-07,2015-09-09,0,9,1,1,City Hotel,BB,Direct,Direct,A,Transient,0
42556,2015-09-07,2015-09-07,2015-09-09,0,9,1,1,City Hotel,BB,Direct,Direct,A,Transient,0
42559,2015-09-07,2015-09-07,2015-09-09,0,9,1,1,City Hotel,BB,Offline TA/TO,TA/TO,A,Contract,0
42563,2015-09-07,2015-09-07,2015-09-10,0,9,1,2,City Hotel,BB,Corporate,Corporate,A,Transient,0
42568,2015-09-07,2015-09-07,2015-09-10,0,9,1,2,City Hotel,BB,Online TA,TA/TO,A,Transient,0
42572,2015-09-07,2015-09-07,2015-09-10,0,9,1,2,City Hotel,BB,Online TA,TA/TO,A,Transient,0
42579,2015-09-07,2015-09-07,2015-09-11,0,9,1,3,City Hotel,BB,Online TA,TA/TO,A,Transient,0
42585,2015-09-07,2015-09-07,2015-09-07,0,9,1,1,City Hotel,BB,Offline TA/TO,TA/TO,D,Transient,1
42592,2015-09-07,2015-09-07,2015-09-12,0,9,1,4,City Hotel,BB,Online TA,TA/TO,A,Transient,0
42595,2015-09-07,2015-09-07,2015-09-12,0,9,1,4,City Hotel,BB,Online TA,TA/TO,A,Transient,0
42601,2015-09-07,2015-09-08,2015-09-09,1,9,0,1,City Hotel,BB,Offline TA/TO,TA/TO,A,Transient,0
42613,2015-09-07,2015-09-08,2015-09-10,1,9,0,2,City Hotel,BB,Direct,Direct,A,Transient,0
42616,2015-09-07,2015-09-08,2015-09-08,1,9,0,2,City Hotel,BB,Direct,Direct,A,Transient,1
42654,2015-09-07,2015-09-09,2015-09-11,2,9,0,2,City Hotel,BB,Direct,Direct,A,Transient,0
42672,2015-09-07,2015-09-09,2015-09-10,2,9,0,1,City Hotel,BB,Corporate,Corporate,A,Transient,0
42749,2015-09-07,2015-09-09,2015-09-12,2,9,0,3,City Hotel,BB,Online TA,TA/TO,F,Contract,0
42809,2015-09-07,2015-09-10,2015-09-17,3,9,2,5,City Hotel,BB,Online TA,TA/TO,A,Contract,0
42818,2015-09-07,2015-09-10,2015-09-14,3,9,1,3,City Hotel,BB,Online TA,TA/TO,A,Contract,0
42935,2015-09-07,2015-09-11,2015-09-12,4,9,0,1,City Hotel,BB,Direct,Direct,A,Transient,0
43052,2015-09-07,2015-09-13,2015-09-18,6,9,2,3,City Hotel,BB,Online TA,TA/TO,D,Transient,0
43059,2015-09-07,2015-09-13,2015-09-14,6,9,1,0,City Hotel,BB,Online TA,TA/TO,A,Contract,0
43082,2015-09-07,2015-09-14,2015-09-17,7,9,1,2,City Hotel,BB,Online TA,TA/TO,A,Contract,0
43100,2015-09-07,2015-09-15,2015-09-16,8,9,0,1,City Hotel,BB,Corporate,Corporate,A,Transient,0
43236,2015-09-07,2015-09-17,2015-09-18,10,9,0,1,City Hotel,BB,Online TA,TA/TO,A,Contract,0
43572,2015-09-07,2015-09-20,2015-09-22,13,9,2,0,City Hotel,BB,Online TA,TA/TO,A,Transient,0
43587,2015-09-07,2015-09-20,2015-09-25,13,9,2,3,City Hotel,BB,Online TA,TA/TO,A,Transient,0
43589,2015-09-07,2015-09-20,2015-09-25,13,9,2,3,City Hotel,BB,Online TA,TA/TO,A,Transient,0
43591,2015-09-07,2015-09-20,2015-09-25,13,9,2,3,City Hotel,BB,Online TA,TA/TO,D,Transient,0
43631,2015-09-07,2015-09-21,2015-09-24,14,9,1,2,City Hotel,BB,Online TA,TA/TO,A,Contract,0
44136,2015-09-07,2015-09-30,2015-10-03,23,9,0,3,City Hotel,BB,Online TA,TA/TO,A,Contract,0
44142,2015-09-07,2015-09-30,2015-10-04,23,9,0,4,City Hotel,BB,Online TA,TA/TO,D,Transient,0
44342,2015-09-07,2015-10-04,2015-10-05,27,10,1,0,City Hotel,BB,Online TA,TA/TO,A,Transient,0
44365,2015-09-07,2015-10-04,2015-10-07,27,10,2,1,City Hotel,BB,Online TA,TA/TO,A,Contract,0
44377,2015-09-07,2015-10-05,2015-10-06,28,10,1,0,City Hotel,BB,Online TA,TA/TO,A,Contract,0
44391,2015-09-07,2015-10-05,2015-09-28,28,10,1,1,City Hotel,BB,Offline TA/TO,TA/TO,A,Transient-Party,1
44539,2015-09-07,2015-10-07,2015-10-07,30,10,0,3,City Hotel,BB,Online TA,TA/TO,A,Transient,1
44780,2015-09-07,2015-10-11,2015-10-13,34,10,2,0,City Hotel,BB,Online TA,TA/TO,A,Contract,0
44782,2015-09-07,2015-10-11,2015-10-13,34,10,2,0,City Hotel,BB,Online TA,TA/TO,A,Contract,0
44787,2015-09-07,2015-10-11,2015-10-19,34,10,3,5,City Hotel,BB,Online TA,TA/TO,D,Transient,0
44851,2015-09-07,2015-10-13,2015-09-09,36,10,0,2,City Hotel,BB,Offline TA/TO,TA/TO,A,Group,1
44853,2015-09-07,2015-10-13,2015-10-16,36,10,0,3,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
44855,2015-09-07,2015-10-13,2015-10-16,36,10,0,3,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
44856,2015-09-07,2015-10-13,2015-10-16,36,10,0,3,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
44858,2015-09-07,2015-10-13,2015-10-16,36,10,0,3,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
45053,2015-09-07,2015-10-16,2015-10-18,39,10,0,2,City Hotel,SC,Online TA,TA/TO,F,Contract,0
45138,2015-09-07,2015-10-18,2015-10-23,41,10,2,3,City Hotel,BB,Online TA,TA/TO,A,Transient,0
45141,2015-09-07,2015-10-19,2015-09-28,42,10,1,1,City Hotel,BB,Online TA,TA/TO,A,Contract,1
45188,2015-09-07,2015-10-22,2015-10-24,45,10,0,2,City Hotel,BB,Online TA,TA/TO,A,Contract,0
45190,2015-09-07,2015-10-22,2015-09-16,45,10,0,3,City Hotel,BB,Online TA,TA/TO,A,Contract,1
45191,2015-09-07,2015-10-22,2015-09-16,45,10,0,3,City Hotel,BB,Online TA,TA/TO,A,Contract,1
45195,2015-09-07,2015-10-22,2015-10-26,45,10,1,3,City Hotel,BB,Online TA,TA/TO,D,Transient,0
45274,2015-09-07,2015-10-25,2015-09-10,48,10,2,1,City Hotel,BB,Online TA,TA/TO,A,Contract,1
45334,2015-09-07,2015-10-25,2015-10-30,48,10,2,3,City Hotel,HB,Offline TA/TO,TA/TO,B,Transient-Party,0
45336,2015-09-07,2015-10-25,2015-10-30,48,10,2,3,City Hotel,HB,Offline TA/TO,TA/TO,B,Transient-Party,0
45345,2015-09-07,2015-10-25,2015-10-30,48,10,2,3,City Hotel,HB,Offline TA/TO,TA/TO,F,Transient-Party,0
45447,2015-09-07,2015-10-28,2015-11-01,51,10,0,4,City Hotel,SC,Online TA,TA/TO,A,Transient,0
45494,2015-09-07,2015-10-31,2015-11-01,54,10,0,1,City Hotel,SC,Online TA,TA/TO,F,Contract,0
77125,2015-09-07,2015-09-07,2015-09-08,0,9,1,0,City Hotel,BB,Groups,TA/TO,A,Transient,0
1659,2015-09-08,2015-09-08,2015-09-10,0,9,0,2,Resort Hotel,BB,Direct,Direct,A,Transient,0
1684,2015-09-08,2015-09-09,2015-09-09,1,9,1,4,Resort Hotel,BB,Direct,Direct,A,Transient,1
1693,2015-09-08,2015-09-09,2015-09-14,1,9,1,4,Resort Hotel,HB,Online TA,TA/TO,A,Transient,0
1728,2015-09-08,2015-09-11,2015-09-12,3,9,0,1,Resort Hotel,BB,Corporate,Direct,A,Transient,0
2096,2015-09-08,2015-10-01,2015-10-05,23,10,1,3,Resort Hotel,BB,Direct,Direct,E,Transient,0
2150,2015-09-08,2015-10-03,2015-10-07,25,10,2,2,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
2166,2015-09-08,2015-10-03,2015-10-10,25,10,2,5,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
2179,2015-09-08,2015-10-04,2015-10-11,26,10,2,5,Resort Hotel,BB,Direct,Direct,A,Transient,0
16740,2015-09-08,2015-09-09,2015-09-10,1,9,0,1,Resort Hotel,BB,Corporate,Direct,A,Transient-Party,0
16801,2015-09-08,2015-09-10,2015-09-13,2,9,0,3,Resort Hotel,BB,Direct,Direct,A,Transient,0
42602,2015-09-08,2015-09-08,2015-09-09,0,9,0,1,City Hotel,BB,Corporate,Direct,A,Transient,0
42603,2015-09-08,2015-09-08,2015-09-09,0,9,0,1,City Hotel,BB,Direct,Direct,A,Transient,0
42604,2015-09-08,2015-09-08,2015-09-09,0,9,0,1,City Hotel,BB,Corporate,Direct,A,Transient,0
42605,2015-09-08,2015-09-08,2015-09-09,0,9,0,1,City Hotel,BB,Direct,Direct,A,Transient,0
42606,2015-09-08,2015-09-08,2015-09-09,0,9,0,1,City Hotel,BB,Direct,Direct,A,Transient,0
42609,2015-09-08,2015-09-08,2015-09-09,0,9,0,1,City Hotel,BB,Offline TA/TO,TA/TO,A,Contract,0
42610,2015-09-08,2015-09-08,2015-09-09,0,9,0,1,City Hotel,BB,Offline TA/TO,TA/TO,A,Transient,0
42611,2015-09-08,2015-09-08,2015-09-09,0,9,0,1,City Hotel,SC,Direct,Direct,A,Transient,0
42612,2015-09-08,2015-09-08,2015-09-09,0,9,0,1,City Hotel,BB,Online TA,TA/TO,A,Contract,0
42615,2015-09-08,2015-09-08,2015-09-10,0,9,0,2,City Hotel,BB,Offline TA/TO,TA/TO,A,Transient-Party,0
42618,2015-09-08,2015-09-08,2015-09-10,0,9,0,2,City Hotel,BB,Offline TA/TO,TA/TO,A,Transient-Party,0
42624,2015-09-08,2015-09-08,2015-09-11,0,9,0,3,City Hotel,BB,Online TA,TA/TO,A,Contract,0
42634,2015-09-08,2015-09-08,2015-09-12,0,9,0,4,City Hotel,BB,Online TA,TA/TO,F,Contract,0
42636,2015-09-08,2015-09-08,2015-09-09,0,9,0,1,City Hotel,BB,Direct,Direct,A,Transient,0
42637,2015-09-08,2015-09-08,2015-09-09,0,9,0,1,City Hotel,BB,Direct,Direct,A,Transient,0
42640,2015-09-08,2015-09-08,2015-09-09,0,9,0,1,City Hotel,BB,Online TA,TA/TO,A,Transient,0
42644,2015-09-08,2015-09-08,2015-09-13,0,9,0,5,City Hotel,BB,Online TA,TA/TO,A,Contract,0
42657,2015-09-08,2015-09-09,2015-09-11,1,9,0,2,City Hotel,SC,Online TA,TA/TO,A,Transient,0
42658,2015-09-08,2015-09-09,2015-09-11,1,9,0,2,City Hotel,BB,Corporate,Corporate,A,Transient-Party,0
42700,2015-09-08,2015-09-09,2015-09-09,1,9,0,2,City Hotel,BB,Online TA,TA/TO,A,Transient,1
42710,2015-09-08,2015-09-09,2015-09-11,1,9,0,2,City Hotel,BB,Corporate,Corporate,A,Transient-Party,0
42730,2015-09-08,2015-09-09,2015-09-11,1,9,0,2,City Hotel,BB,Online TA,TA/TO,A,Transient,0
42746,2015-09-08,2015-09-09,2015-09-12,1,9,0,3,City Hotel,BB,Corporate,Corporate,A,Transient-Party,0
42755,2015-09-08,2015-09-09,2015-09-12,1,9,0,3,City Hotel,BB,Online TA,TA/TO,A,Contract,0
42767,2015-09-08,2015-09-10,2015-09-11,2,9,0,1,City Hotel,BB,Corporate,Corporate,A,Transient,0
42771,2015-09-08,2015-09-10,2015-09-11,2,9,0,1,City Hotel,BB,Corporate,Corporate,A,Transient-Party,0
42774,2015-09-08,2015-09-10,2015-09-11,2,9,0,1,City Hotel,BB,Corporate,Corporate,A,Transient,0
42784,2015-09-08,2015-09-10,2015-09-12,2,9,0,2,City Hotel,BB,Online TA,TA/TO,A,Contract,0
42807,2015-09-08,2015-09-10,2015-09-16,2,9,2,4,City Hotel,BB,Direct,Direct,A,Transient,0
42811,2015-09-08,2015-09-10,2015-09-18,2,9,2,6,City Hotel,BB,Online TA,TA/TO,A,Contract,0
42950,2015-09-08,2015-09-11,2015-09-13,3,9,0,2,City Hotel,BB,Direct,Direct,A,Transient,0
42979,2015-09-08,2015-09-12,2015-09-14,4,9,1,1,City Hotel,BB,Online TA,TA/TO,A,Contract,0
43083,2015-09-08,2015-09-14,2015-09-17,6,9,1,2,City Hotel,BB,Online TA,Direct,A,Contract,0
43086,2015-09-08,2015-09-14,2015-09-18,6,9,1,3,City Hotel,BB,Online TA,TA/TO,D,Transient,0
43118,2015-09-08,2015-09-15,2015-09-17,7,9,0,2,City Hotel,BB,Online TA,TA/TO,A,Contract,0
43167,2015-09-08,2015-09-16,2015-09-15,8,9,0,2,City Hotel,BB,Online TA,TA/TO,A,Transient,1
43495,2015-09-08,2015-09-18,2015-09-22,10,9,2,2,City Hotel,BB,Direct,Direct,A,Transient,0
43523,2015-09-08,2015-09-19,2015-09-22,11,9,2,1,City Hotel,BB,Direct,Direct,A,Transient,0
43575,2015-09-08,2015-09-20,2015-09-23,12,9,2,1,City Hotel,BB,Online TA,TA/TO,A,Contract,0
43949,2015-09-08,2015-09-26,2015-09-30,18,9,2,2,City Hotel,BB,Corporate,Corporate,A,Transient,0
44028,2015-09-08,2015-09-29,2015-09-09,21,9,0,4,City Hotel,BB,Online TA,TA/TO,A,Contract,1
44163,2015-09-08,2015-10-02,2015-10-03,24,10,0,1,City Hotel,BB,Offline TA/TO,TA/TO,A,Transient,0
44368,2015-09-08,2015-10-04,2015-10-07,26,10,2,1,City Hotel,BB,Online TA,TA/TO,A,Transient,0
44373,2015-09-08,2015-10-04,2015-09-18,26,10,2,3,City Hotel,BB,Online TA,TA/TO,D,Transient,1
44480,2015-09-08,2015-10-05,2015-10-10,27,10,1,4,City Hotel,BB,Online TA,TA/TO,A,Contract,0
44789,2015-09-08,2015-10-12,2015-10-14,34,10,1,1,City Hotel,BB,Online TA,TA/TO,A,Contract,0
44800,2015-09-08,2015-10-12,2015-10-15,34,10,1,2,City Hotel,BB,Online TA,TA/TO,A,Contract,0
44815,2015-09-08,2015-10-12,2015-10-15,34,10,1,2,City Hotel,BB,Online TA,TA/TO,A,Contract,0
45145,2015-09-08,2015-10-19,2015-10-22,41,10,1,2,City Hotel,BB,Online TA,TA/TO,A,Contract,0
45183,2015-09-08,2015-10-21,2015-10-27,43,10,2,4,City Hotel,BB,Online TA,TA/TO,F,Contract,0
45198,2015-09-08,2015-10-23,2015-10-24,45,10,0,1,City Hotel,BB,Online TA,TA/TO,A,Group,0
45338,2015-09-08,2015-10-25,2015-09-08,47,10,2,4,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,1
45341,2015-09-08,2015-10-25,2015-09-08,47,10,2,4,City Hotel,HB,Offline TA/TO,TA/TO,F,Transient-Party,1
74700,2015-09-08,2015-09-08,2015-09-09,0,9,0,1,City Hotel,BB,Complementary,Direct,A,Transient,0
77142,2015-09-08,2015-09-08,2015-09-09,0,9,0,1,City Hotel,BB,Complementary,Direct,A,Transient,0
78728,2015-09-08,2015-10-12,2015-10-15,34,10,1,2,City Hotel,BB,Online TA,TA/TO,A,Contract,0
79279,2015-09-08,2015-10-23,2015-10-24,45,10,0,1,City Hotel,BB,Online TA,TA/TO,A,Group,0
1674,2015-09-09,2015-09-09,2015-09-09,0,9,0,1,Resort Hotel,BB,Direct,Direct,A,Transient,1
1675,2015-09-09,2015-09-09,2015-09-10,0,9,0,1,Resort Hotel,BB,Direct,Direct,F,Transient,0
1678,2015-09-09,2015-09-09,2015-09-09,0,9,0,1,Resort Hotel,BB,Direct,Direct,A,Transient,1
1682,2015-09-09,2015-09-09,2015-09-10,0,9,0,1,Resort Hotel,BB,Corporate,Direct,A,Transient,0
1723,2015-09-09,2015-09-11,2015-09-12,2,9,0,1,Resort Hotel,BB,Online TA,TA/TO,D,Transient,0
1907,2015-09-09,2015-09-21,2015-09-18,12,9,1,1,Resort Hotel,HB,Groups,TA/TO,A,Transient-Party,1
1972,2015-09-09,2015-09-25,2015-09-26,16,9,0,1,Resort Hotel,SC,Direct,Direct,A,Transient-Party,0
2094,2015-09-09,2015-10-01,2015-10-05,22,10,1,3,Resort Hotel,BB,Direct,Direct,E,Transient,0
2127,2015-09-09,2015-10-02,2015-09-09,23,10,2,5,Resort Hotel,BB,Offline TA/TO,TA/TO,A,Transient,1
2278,2015-09-09,2015-10-08,2015-10-12,29,10,1,3,Resort Hotel,BB,Online TA,TA/TO,D,Transient,0
2724,2015-09-09,2015-10-28,2015-11-04,49,10,2,5,Resort Hotel,HB,Direct,Direct,A,Transient,0
2725,2015-09-09,2015-10-28,2015-11-04,49,10,2,5,Resort Hotel,HB,Direct,Direct,A,Transient,0
2726,2015-09-09,2015-10-28,2015-11-04,49,10,2,5,Resort Hotel,HB,Direct,Direct,A,Transient,0
2727,2015-09-09,2015-10-28,2015-11-04,49,10,2,5,Resort Hotel,HB,Direct,Direct,A,Transient,0
18116,2015-09-09,2015-11-01,2015-11-05,53,11,2,2,Resort Hotel,HB,Online TA,TA/TO,D,Transient,0
42666,2015-09-09,2015-09-09,2015-09-10,0,9,0,1,City Hotel,BB,Online TA,Direct,A,Transient,0
42668,2015-09-09,2015-09-09,2015-09-10,0,9,0,1,City Hotel,BB,Online TA,TA/TO,A,Contract,0
42669,2015-09-09,2015-09-09,2015-09-10,0,9,0,1,City Hotel,BB,Corporate,Direct,A,Transient,0
42673,2015-09-09,2015-09-09,2015-09-10,0,9,0,1,City Hotel,SC,Direct,Direct,A,Transient,0
42751,2015-09-09,2015-09-09,2015-09-12,0,9,0,3,City Hotel,BB,Online TA,TA/TO,A,Contract,0
42765,2015-09-09,2015-09-10,2015-09-11,1,9,0,1,City Hotel,BB,Online TA,TA/TO,A,Transient,0
42920,2015-09-09,2015-09-11,2015-09-13,2,9,0,2,City Hotel,BB,Corporate,Corporate,A,Transient,0
42925,2015-09-09,2015-09-11,2015-09-11,2,9,0,2,City Hotel,HB,Groups,TA/TO,A,Transient,1
42972,2015-09-09,2015-09-12,2015-09-13,3,9,0,1,City Hotel,BB,Online TA,TA/TO,A,Contract,0
43040,2015-09-09,2015-09-13,2015-09-16,4,9,2,1,City Hotel,BB,Online TA,TA/TO,F,Contract,0
43063,2015-09-09,2015-09-14,2015-09-15,5,9,1,0,City Hotel,BB,Corporate,Corporate,A,Transient,0
43134,2015-09-09,2015-09-15,2015-09-18,6,9,0,3,City Hotel,BB,Online TA,TA/TO,A,Transient,0
43180,2015-09-09,2015-09-16,2015-09-18,7,9,0,2,City Hotel,BB,Offline TA/TO,TA/TO,A,Contract,0
43594,2015-09-09,2015-09-20,2015-09-25,11,9,2,3,City Hotel,BB,Offline TA/TO,TA/TO,D,Transient,0
43634,2015-09-09,2015-09-21,2015-09-24,12,9,1,2,City Hotel,BB,Online TA,TA/TO,A,Contract,0
43671,2015-09-09,2015-09-22,2015-09-17,13,9,0,3,City Hotel,BB,Online TA,TA/TO,A,Contract,1
43998,2015-09-09,2015-09-28,2015-10-03,19,9,1,4,City Hotel,BB,Direct,Direct,A,Transient,0
44030,2015-09-09,2015-09-29,2015-09-14,20,9,0,3,City Hotel,BB,Online TA,TA/TO,A,Contract,1
44113,2015-09-09,2015-09-30,2015-10-02,21,9,0,2,City Hotel,BB,Direct,Direct,A,Transient,0
44148,2015-09-09,2015-10-01,2015-10-03,22,10,0,2,City Hotel,BB,Online TA,TA/TO,A,Transient,0
44152,2015-09-09,2015-10-01,2015-10-04,22,10,0,3,City Hotel,BB,Online TA,TA/TO,A,Contract,0
44367,2015-09-09,2015-10-04,2015-10-07,25,10,2,1,City Hotel,BB,Online TA,TA/TO,A,Transient,0
44369,2015-09-09,2015-10-04,2015-10-08,25,10,2,2,City Hotel,BB,Online TA,TA/TO,A,Transient,0
44482,2015-09-09,2015-10-05,2015-10-10,26,10,1,4,City Hotel,BB,Online TA,TA/TO,D,Transient,0
44567,2015-09-09,2015-10-07,2015-10-10,28,10,0,3,City Hotel,BB,Online TA,TA/TO,A,Contract,0
44850,2015-09-09,2015-10-13,2015-10-15,34,10,0,2,City Hotel,BB,Offline TA/TO,TA/TO,A,Contract,0
44863,2015-09-09,2015-10-13,2015-10-16,34,10,0,3,City Hotel,BB,Offline TA/TO,TA/TO,A,Transient,0
45129,2015-09-09,2015-10-17,2015-09-21,38,10,2,3,City Hotel,BB,Online TA,TA/TO,A,Contract,1
45134,2015-09-09,2015-10-18,2015-09-09,39,10,2,2,City Hotel,BB,Online TA,TA/TO,A,Contract,1
45146,2015-09-09,2015-10-19,2015-10-14,40,10,1,2,City Hotel,BB,Offline TA/TO,TA/TO,A,Contract,1
45155,2015-09-09,2015-10-19,2015-10-14,40,10,1,3,City Hotel,BB,Offline TA/TO,TA/TO,A,Contract,1
45165,2015-09-09,2015-10-19,2015-10-25,40,10,1,5,City Hotel,BB,Online TA,TA/TO,A,Contract,0
45252,2015-09-09,2015-10-24,2015-10-28,45,10,2,2,City Hotel,BB,Online TA,TA/TO,B,Transient,0
77175,2015-09-09,2015-09-09,2015-09-10,0,9,0,1,City Hotel,BB,Direct,Direct,A,Transient,0
77187,2015-09-09,2015-09-10,2015-09-12,1,9,0,2,City Hotel,BB,Direct,Direct,A,Transient,0
77192,2015-09-09,2015-09-12,2015-09-13,3,9,0,1,City Hotel,BB,Complementary,Direct,B,Transient,0
77193,2015-09-09,2015-09-12,2015-09-13,3,9,0,1,City Hotel,BB,Complementary,Direct,B,Transient,0
77535,2015-09-09,2015-09-25,2015-09-22,16,9,2,3,City Hotel,BB,Groups,TA/TO,A,Transient-Party,1
77542,2015-09-09,2015-09-28,2015-09-22,19,9,1,0,City Hotel,BB,Groups,TA/TO,A,Transient,1
77543,2015-09-09,2015-09-29,2015-09-22,20,9,0,1,City Hotel,BB,Groups,TA/TO,A,Transient,1
77548,2015-09-09,2015-09-30,2015-09-22,21,9,0,1,City Hotel,BB,Groups,TA/TO,A,Transient,1
77550,2015-09-09,2015-09-30,2015-09-22,21,9,0,1,City Hotel,BB,Groups,TA/TO,A,Transient,1
77769,2015-09-09,2015-09-25,2015-09-27,16,9,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77773,2015-09-09,2015-09-25,2015-09-27,16,9,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77775,2015-09-09,2015-09-25,2015-09-27,16,9,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77776,2015-09-09,2015-09-25,2015-09-27,16,9,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77777,2015-09-09,2015-09-25,2015-09-27,16,9,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77779,2015-09-09,2015-09-26,2015-09-27,17,9,0,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77782,2015-09-09,2015-09-25,2015-09-27,16,9,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77786,2015-09-09,2015-09-25,2015-09-28,16,9,1,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77787,2015-09-09,2015-09-25,2015-09-28,16,9,1,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77788,2015-09-09,2015-09-24,2015-09-28,15,9,1,3,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77789,2015-09-09,2015-09-26,2015-09-28,17,9,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77790,2015-09-09,2015-09-26,2015-09-28,17,9,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77791,2015-09-09,2015-09-27,2015-09-28,18,9,1,0,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77793,2015-09-09,2015-09-25,2015-09-28,16,9,1,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77795,2015-09-09,2015-09-27,2015-09-28,18,9,1,0,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77796,2015-09-09,2015-09-27,2015-09-28,18,9,1,0,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77817,2015-09-09,2015-09-25,2015-09-28,16,9,1,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77819,2015-09-09,2015-09-27,2015-09-29,18,9,2,0,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77820,2015-09-09,2015-09-26,2015-09-29,17,9,2,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77822,2015-09-09,2015-09-25,2015-09-29,16,9,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77823,2015-09-09,2015-09-25,2015-09-29,16,9,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77824,2015-09-09,2015-09-25,2015-09-29,16,9,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77826,2015-09-09,2015-09-26,2015-09-29,17,9,2,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77835,2015-09-09,2015-09-27,2015-09-29,18,9,2,0,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77836,2015-09-09,2015-09-27,2015-09-29,18,9,2,0,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77837,2015-09-09,2015-09-26,2015-09-29,17,9,2,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77838,2015-09-09,2015-09-25,2015-09-29,16,9,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77841,2015-09-09,2015-09-25,2015-09-29,16,9,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77842,2015-09-09,2015-09-25,2015-09-29,16,9,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77843,2015-09-09,2015-09-25,2015-09-29,16,9,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77844,2015-09-09,2015-09-28,2015-09-29,19,9,1,0,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77845,2015-09-09,2015-09-25,2015-09-29,16,9,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77846,2015-09-09,2015-09-26,2015-09-29,17,9,2,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77849,2015-09-09,2015-09-28,2015-09-29,19,9,1,0,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77851,2015-09-09,2015-09-26,2015-09-29,17,9,2,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77852,2015-09-09,2015-09-26,2015-09-29,17,9,2,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77856,2015-09-09,2015-09-26,2015-09-29,17,9,2,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77857,2015-09-09,2015-09-25,2015-09-29,16,9,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77858,2015-09-09,2015-09-25,2015-09-29,16,9,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
77859,2015-09-09,2015-09-25,2015-09-29,16,9,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
